SERPINA1 NMU 13.0
SERPINA1 NOSTRIN 12.0
SERPINA1 NOTCH3 17.0
SERPINA1 NR0B2 35.0
SERPINA1 NSMAF 18.0
SERPINA1 NUDT3 22.0
SERPINA1 NUP153 18.0
SERPINA1 NUP214 27.0
SERPINA1 OPA1 10.0
SERPINA1 OPTN 18.0
SERPINA1 ORMDL3 11.0
SERPINA1 OSBPL10 19.0
SERPINA1 PCK1 16.0
SERPINA1 PDIK1L 24.0
SERPINA1 PECR 15.0
SERPINA1 PGC 12.0
SERPINA1 PHLDB2 7.0
SERPINA1 PICALM 15.0
SERPINA1 PIK3CG 13.0
SERPINA1 PIM1 26.0
SERPINA1 PKLR 14.0
SERPINA1 PLCG2 14.0
SERPINA1 PLD1 9.0
SERPINA1 PMF1 19.0
SERPINA1 PNN 12.0
SERPINA1 POLR2B 13.0
SERPINA1 POR 11.0
SERPINA1 PRM1 10.0
SERPINA1 PRMT1 23.0
SERPINA1 PSMD1 11.0
SERPINA1 PSME1 23.0
SERPINA1 PTGS1 16.0
SERPINA1 PTP4A3 6.0
SERPINA1 PTPN4 9.0
SERPINA1 PTPRB 13.0
SERPINA1 QKI 11.0
SERPINA1 QSOX1 13.0
SERPINA1 RAB3IL1 11.0
SERPINA1 RAET1E 8.0
SERPINA1 RAMP2 8.0
SERPINA1 RBM39 19.0
SERPINA1 RHAG 13.0
SERPINA1 RHD 24.0
SERPINA1 RIF1 20.0
SERPINA1 RNASE1 8.0
SERPINA1 RND2 12.0
SERPINA1 RPL13A 25.0
SERPINA1 RPL32 10.0
SERPINA1 S100A10 10.0
SERPINA1 SAMSN1 32.0
SERPINA1 SBK1 12.0
SERPINA1 SCG3 6.0
SERPINA1 SDF2L1 15.0
SERPINA1 SEC16A 19.0
SERPINA1 SELL 13.0
SERPINA1 SLC16A3 15.0
SERPINA1 SLC40A1 21.0
SERPINA1 SMYD3 16.0
SERPINA1 SP5 23.0
SERPINA1 SPN 25.0
SERPINA1 SRRM1 24.0
SERPINA1 SSFA2 19.0
SERPINA1 STAR 22.0
SERPINA1 STAT5A 30.0
SERPINA1 STAT5B 21.0
SERPINA1 SULT2A1 28.0
SERPINA1 TCF12 16.0
SERPINA1 TESC 15.0
SERPINA1 TPM1 18.0
SERPINA1 TROVE2 17.0
SERPINA1 TTR 21.0
SERPINA1 UBASH3A 20.0
SERPINA1 USP9X 16.0
SERPINA1 WDR74 16.0
SERPINA1 ZMYND8 21.0
SERPINA1 ZNF587 28.0
SERPINA1 SERPINA3 6.0
SERPINA1 SERPINA4 6.0
SERPINA1 SERPINA5 6.0
SERPINA1 SERPINE1 10.0
SERPINA1 SFRP1 12.0
SERPINA1 SHD 12.0
SERPINA1 SLC18A2 6.0
SERPINA1 SNAP29 13.0
SERPINA1 SNTB1 6.0
SERPINA1 SORBS2 6.0
SERPINA1 SPHK1 10.0
SERPINA1 SPI1 11.0
SERPINA1 ST8SIA2 10.0
SERPINA1 STAG2 12.0
SERPINA1 STRN3 11.0
SERPINA1 SUB1 11.0
SERPINA1 SYNJ2 8.0
SERPINA1 TF 10.0
SERPINA1 TFF3 8.0
SERPINA1 TFPI 8.0
SERPINA1 TGFBR2 10.0
SERPINA1 TINF2 12.0
SERPINA1 TLR7 12.0
SERPINA1 TM4SF1 13.0
SERPINA1 TNFRSF1A 8.0
SERPINA1 TNFSF11 6.0
SERPINA1 TNPO1 7.0
SERPINA1 TP53BP2 14.0
SERPINA1 TUBB1 9.0
SERPINA1 TXNRD1 8.0
SERPINA1 UGT2B7 9.0
SERPINA1 UNC13A 6.0
SERPINA1 USP15 8.0
SERPINA1 VIM 13.0
SERPINA1 ZFP36L2 11.0
SERPINA1 ZNF217 11.0
SERPINA1 DIDO1 6.0
SERPINA1 DUSP1 8.0
SERPINA1 ECD 13.0
SERPINA1 EIF6 8.0
SERPINA1 MAN1C1 10.0
SERPINA1 SERPINF2 10.0
SERPINA1 SNX5 10.0
SERPINA1 SRP54 10.0
SERPINA1 TXNDC11 7.0
SERPINA1 CDH23 8.0
SERPINA1 CFB 10.0
SERPINA1 CNOT1 11.0
SERPINA1 COG1 10.0
SERPINA1 DDAH2 12.0
SERPINA1 DKK1 6.0
SERPINA1 HECTD1 7.0
SERPINA1 LEF1 7.0
SERPINA1 NCOA4 6.0
SERPINA1 PLXNB1 8.0
SERPINA1 RPL9 8.0
SERPINA1 RRBP1 8.0
SERPINA1 SLC7A5 5.0
SERPINA1 SRPK2 9.0
SERPINA1 TGIF1 7.0
SERPINA1 TRIB1 11.0
SERPINA1 CIDEB 8.0
SERPINA1 PDGFRB 10.0
SERPINA1 PLCD1 8.0
SERPINA1 TM9SF1 7.0
SERPINA1 ZNF219 7.0
AFAP1L2 ACSM3 14.0
AFAP1L2 ALS2CL 14.0
AFAP1L2 ANG 14.0
AFAP1L2 APP 16.0
AFAP1L2 ARL4A 13.0
AFAP1L2 ARPC1A 19.0
AFAP1L2 ASCL1 16.0
AFAP1L2 BCAS1 19.0
AFAP1L2 BZRAP1 15.0
AFAP1L2 CALML3 18.0
AFAP1L2 CAPG 18.0
AFAP1L2 CASP14 19.0
AFAP1L2 CD44 14.0
AFAP1L2 CD59 13.0
AFAP1L2 CD7 20.0
AFAP1L2 CD79A 23.0
AFAP1L2 CD79B 13.0
AFAP1L2 CEACAM5 21.0
AFAP1L2 CEACAM6 15.0
AFAP1L2 CHD6 15.0
AFAP1L2 CIITA 21.0
AFAP1L2 CORO1A 22.0
AFAP1L2 CSF2 18.0
AFAP1L2 CTCFL 14.0
AFAP1L2 CYP1B1 20.0
AFAP1L2 DARS 19.0
AFAP1L2 DLK2 14.0
AFAP1L2 DUSP22 13.0
AFAP1L2 DYNC1H1 16.0
AFAP1L2 EBI3 26.0
AFAP1L2 EHF 15.0
AFAP1L2 ERBB3 20.0
AFAP1L2 ETFB 24.0
AFAP1L2 EVL 19.0
AFAP1L2 FBXW7 15.0
AFAP1L2 FCER2 29.0
AFAP1L2 FERMT1 15.0
AFAP1L2 FRMD6 14.0
AFAP1L2 FXYD3 22.0
AFAP1L2 G6PC 16.0
AFAP1L2 GJB3 17.0
AFAP1L2 GLTSCR2 13.0
AFAP1L2 GNA15 21.0
AFAP1L2 GPRC5C 13.0
AFAP1L2 GRAP2 13.0
AFAP1L2 GRHL3 22.0
AFAP1L2 HCST 20.0
AFAP1L2 HIST1H2AC 14.0
AFAP1L2 HIST1H2BD 20.0
AFAP1L2 HIST2H2BE 14.0
AFAP1L2 HLA-DMA 21.0
AFAP1L2 HLA-DPB1 20.0
AFAP1L2 HLA-DQA1 19.0
AFAP1L2 HLA-DQB1 19.0
AFAP1L2 HLA-DRA 19.0
AFAP1L2 HOXB9 14.0
AFAP1L2 HOXC6 13.0
AFAP1L2 HVCN1 21.0
AFAP1L2 ICAM3 20.0
AFAP1L2 ID1 13.0
AFAP1L2 IFI27 15.0
AFAP1L2 IL12RB1 22.0
AFAP1L2 IL1RN 19.0
AFAP1L2 IL21R 24.0
AFAP1L2 IL2RG 14.0
AFAP1L2 ITGAL 24.0
AFAP1L2 ITGAX 22.0
AFAP1L2 ITGB1BP1 18.0
AFAP1L2 ITGB4 17.0
AFAP1L2 ITGB7 14.0
AFAP1L2 KLC3 17.0
AFAP1L2 KRT1 19.0
AFAP1L2 KRT13 21.0
AFAP1L2 KRT14 19.0
AFAP1L2 KRT15 20.0
AFAP1L2 KRT18 16.0
AFAP1L2 KRT4 13.0
AFAP1L2 KRT5 19.0
AFAP1L2 KRT6C 21.0
AFAP1L2 LAMA3 21.0
AFAP1L2 LCP1 18.0
AFAP1L2 LRMP 22.0
AFAP1L2 LRPPRC 20.0
AFAP1L2 LSR 26.0
AFAP1L2 LY86 25.0
AFAP1L2 MAP3K5 13.0
AFAP1L2 MLPH 19.0
AFAP1L2 MS4A1 21.0
AFAP1L2 MTF2 14.0
AFAP1L2 MYH14 22.0
AFAP1L2 MYL2 21.0
AFAP1L2 MYO1B 17.0
AFAP1L2 NCOA3 15.0
AFAP1L2 NEK6 22.0
AFAP1L2 NR0B2 20.0
AFAP1L2 NUP214 16.0
AFAP1L2 OPTN 24.0
AFAP1L2 P2RY2 14.0
AFAP1L2 PGK1 17.0
AFAP1L2 PLCG2 22.0
AFAP1L2 PLEK 14.0
AFAP1L2 PMF1 16.0
AFAP1L2 PPP1R13B 13.0
AFAP1L2 PRMT1 18.0
AFAP1L2 PRNP 15.0
AFAP1L2 PTHLH 15.0
AFAP1L2 PTPRC 16.0
AFAP1L2 PVRL4 15.0
AFAP1L2 RHD 14.0
AFAP1L2 RHOH 16.0
AFAP1L2 RUNX3 23.0
AFAP1L2 SAMSN1 18.0
AFAP1L2 SCEL 16.0
AFAP1L2 SERPINB3 17.0
AFAP1L2 SERPINE2 13.0
AFAP1L2 SP140 22.0
AFAP1L2 SPIB 19.0
AFAP1L2 SPN 26.0
AFAP1L2 SRRM1 13.0
AFAP1L2 ST6GALNAC2 18.0
AFAP1L2 STARD13 15.0
AFAP1L2 STAT5A 13.0
